id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,You need to use brackets: my_list = [],
1,1493088154,35,0,Look it up in the Python docs,
2,1557999831,0,3,ajlkékjaf,
3,1558000011,0,6,"ajkéldafééandéknaénéa
ajééné
aknéan
",
4,1558000076,0,3,sdéjlékdafnéíné,
5,1558000718,0,<question_id>,jakéasdjéa,
6,1558004098,0,<question_id>,Answer,
7,1558004218,0,<question_id>,Answer,
8,1558005004,0,<question_id>,"new answer
",
9,1558005042,0,<question_id>,new answer,
10,1558005294,0,6,new answer1,
